BRCA,COAD,GBM,KIRC,KIRP,LGG,LUAD,OV,UCEC,ACC,BLCA,CHOL,ESCA,HNSC,KICH,LIHC,LUSC,PAAD,PCPG,PRAD,READ,SARC,SKCM,STAD,TGCT,THCA,THYM,UCS,UVM,Pan Cancer
KMT2C,HLA-DPA1,CHEK2,DNMT3B,CHEK2,CHEK2,SPDL1,BOD1,ATP11C,HDAC2,CHEK2,CHEK2,NREP,CHEK2,DIMT1,HTR7,,CHEK2,CHEK2,CHEK2,,ZNF788,GDF3,CHEK2,C10orf128,CHEK2,CHEK2,CHEK2,CHEK2,CHEK2
PILRB,,TSHZ2,CHEK2,DPH3,HDAC2,CHEK2,HAS2,,ERCC2,ERCC2,KMT2C,BRINP1,LIN28B,KMT2C,,,BBS9,NUSAP1,KMT2C,,BRINP1,CCDC90B,SOHLH2,HLA-DRB5,GDF3,,KMT2C,NUSAP1,SOHLH2
HLA-DRB5,,,RRAS2,,ZBTB20,TRPC4,,,GARS,KMT2C,GIMAP8,,BRINP1,HLA-DRB5,,,GARS,KMT2C,,,,CDH6,BRINP1,HLA-DQA1,RIOK2,,,HLA-DRB5,BRINP1
,,,NREP,,,CDH6,,,PRR34,,,,KMT2C,HLA-DQA1,,,SLC24A1,HLA-DRB5,,,,KMT2C,KMT2C,,HLA-DRB5,,,,TRPC4
,,,SMARCC2,,,KMT2C,,,,,,,NPR3,,,,KMT2C,,,,,GIMAP5,TSHZ2,,,,,,CDH6
,,,RCSD1,,,PILRB,,,,,,,,,,,SMARCC2,,,,,GIMAP7,ZBTB20,,,,,,KMT2C
,,,HLA-DRB5,,,TSHZ2,,,,,,,,,,,NPR3,,,,,GIMAP1,,,,,,,PILRB
,,,TNFSF10,,,NPR3,,,,,,,,,,,AFTPH,,,,,GIMAP8,,,,,,,HLA-DRB5
,,,FYB,,,GIMAP1,,,,,,,,,,,,,,,,,,,,,,,TSHZ2
,,,,,,FYB,,,,,,,,,,,,,,,,,,,,,,,NPR3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GIMAP1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GIMAP8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZBTB20
